Company Name,Company Revenue (in millions),Employee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone,AccountID,LeadID
Federal-Mogul Motorparts,7000,55000,Motor Vehicle Manufacturing,"Aftermarket Automotive Parts, Original Equipment Automotive Parts, Branding, Marketing, Advertising, Design, Engineering, Manufacturing, Supply Chain Management, Automotive Service Technician Training",Privately Held,United States,Southfield,EST,3350,102330
Federal-Mogul Powertrain,7200,55000,Motor Vehicle Manufacturing,"Power Cylinder Components, Thermal and Abrasion Protective Sleeves, Valvetrain Components, Engine Bearings, Engine Seals and Gaskets, Vehicle and Industrial Ignition",Privately Held,United States,Northville,EST,3360,102340
Ferrara,2800,4500,Consumer Goods,"Confectionery Manufacturing, Co-Manufacturing, Private Label, Food Manufacturing",Privately Held,United States,Chicago,EST,3370,102350
Fidelis Care,2400,4000,Hospitals and Health Care,"Medicaid Managed Care, NY State of Health Metal-Level Products, Medicare Advantage, Child Health Plus, Managed Long Term Care, Medicaid Advantage Plus",Public Company,United States,Rego Park,EST,3380,102360
First United Bank,500,2200,Financial Services,"Personal Banking, Personal Loans, Business Banking, Auto Loans, Mortgage Lending, Home Equity Loans, Wealth Management, Lines of Credit, Credit Cards, Certificates of Deposit, Personal Insurance, Business Insurance, Builder Financing, SBA Loans, Agriculture Loans",Privately Held,United States,Durant,EST,3390,102370
FirstEnergy,14000,12000,Utilities,"Energy, Electricity",Public Company,United States,Akron,EST,3400,102380
Fitch Ratings,1400,3500,Financial Services,credit ratings,Privately Held,United States,New York,EST,3410,102390
FlightSafety International,800,4200,Airlines and Aviation,"Commercial & Military Aviation Simulation, Visual Systems, Business & Regional Pilot Training, Aviation Maintenance Training, Corporate & Commercial Flight Attendant Training, FAA Dispatch Training, Corporate Scheduler Training",Privately Held,United States,Columbus,EST,3420,102400
Flowers Foods & Subsidiaries,4000,9200,Food Production,"Bakery, DSD, Warehouse Delivery, Product Innovation, Technology",Public Company,United States,Thomasville,EST,3430,102410
Foundation Building Materials,2200,3100,Wholesale Building Materials,"Building Materials, Drywall, Steel Studs, Acoustical Ceilings, Insulation, Tools and Fasteners, Stucco, Lath and Plaster, Insulation, Wallboard, Fiberglass Reinforced Plastic, Exterior Insulation and Finish System, Logistics, Delivery, Building Materials, Construction, Building Supply",Public Company,United States,Santa Ana,EST,3440,102420
"Franciscan Alliance, Inc.",4200,18000,Hospitals and Health Care,"Health care, Heart, Cancer, Women and Children, Weightloss, Orthopedics, Rehab Services, Joint and Knee Replacement",Nonprofit,United States,Mishawaka,EST,3450,102430
Franciscan Health,3200,18000,Hospitals and Health Care,"hospital, physician offices, cardiology, vascular care, cancer treatment, orthopedics, labor and delivery, neurosurgery, healthcare, primary care, neurology, imaging, lab",Nonprofit,United States,Mishawaka,EST,3460,102440
Franciscan St. Francis Health,900,2300,Hospitals and Health Care,"health care, hospital, physicians, cardiac care, joint replacement, oncology, maternity, bariatric surgery, imaging, orthopedics",Nonprofit,United States,Indianapolis,EST,3470,102450
Freeman Company,320,1500,Events Services,"Audio Visual Solutions, Experiential Design, Exhibit Fabrication and Management, Exhibitor Services, Digital Services, Creative, Corporate Events, Meeting Planning, Event Specialists, Professional Services, Event Solutions, Event Marketing, Meetings and Events, Creative Agency",Privately Held,United States,Dallas,EST,3480,102460
Fuchs Lubricants Co.,500,1400,Chemical Manufacturing,"industrial lubricants, greases, cutting fluids, metalworking fluids, coolants, mining, specialty lubricants, automotive, lubricating greases, Services, wind power, forging, Gear lubrication, construction, Cement, Sugar, metal processing, Food and Beverage, Rail, E-mobility",Public Company,United States,Harvey,EST,3490,102470
Fujitsu Network Communications,1100,2000,Telecommunications,"Communications Network Solutions, Telecommunications, Network Services",Public Company,United States,Richardson,EST,3500,102480
Fusion BPO Services,200,3000,Outsourcing/Offshoring,"Customer Services, Collection Services, Chat Support, Email Support, Back Office",Privately Held,United States,Canton,EST,3510,102490
Fusion CX,500,3000,Outsourcing and Offshoring Consulting,"BPM Solutions, CX Management, Artificial Intelligence, Cognitive Automation, Digital Transformation, Social Analytics, Quality Assurance, Business Process Management, Data Annotation Services, Call Center, Business Process Outsourcing, Debt Collection Services, Tech Support, App Support Call Center, ECommerce Support, Industry specific BPO Services, BPO Services",Privately Held,United States,Canton,EST,3520,102500
GE Hitachi Nuclear Energy,2900,2200,Utilities,,Public Company,United States,Wilmington,EST,3530,102510
GMG,600,1400,Retail,"Sports, EverydayGoods, Health, Beauty, Logistics, Education, Properties, Wellbeing",Privately Held,United Arab Emirates,Dubai,GST,3540,102520
"GOJO, Makers of PURELL",900,1500,Manufacturing,"Skin Care, Hand Sanitizing, Hand Hygiene, Hand Washing, Surface Disinfection, Surface Sanitation, Surface Cleaning, Infection Prevention, Infection Control, Health, Wellbeing, Skin Health, Dispensing Solutions, Innovative Technology, Formulation, Sustainability, Environmental Sustainability",Privately Held,United States,Akron,EST,3550,102530
"GSPANN Technologies, Inc",320,1500,IT Services and IT Consulting,"Enterprise Content Mgmt, Information Mgmt (BI and DW), Web Strategy and Solution, QA Automation, Creative and Design Mgmt, Interactive Marketing solutions, Content Authoring and Migration, 24 X 7 Application Support, Mobile App Development, Omni Channel Strategy",Privately Held,United States,Milpitas,EST,3560,102540
