Company Name,Company Revenue (in millions),Employee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone,AccountID,LeadID
"J. J. Keller & Associates, Inc.",500,1400,Business Consulting and Services,"Mobile & Cloud Solutions, Onsite Consulting & Driver Training, ELDs, Dash Cams and Vehicle Tracking, Managed Services, Digital & Printed Publications, Online Training & Related Materials, Safety Supplies & J. J. Keller® SAFEGEAR® PPE",Privately Held,United States,Neenah,EST,4320,103300
J.R. Simplot Company,6000,10000,Food Production,agriculture,Privately Held,United States,Boise,EST,4330,103310
JAFRA Cosmetics International,500,1300,Personal Care Product Manufacturing,"Direct Selling, Cosmetics, Beauty, makeup, fragrance, skincare, bath and body, beauty consultant, entrepreneurship, women, women empowerment",Public Company,United States,Thousand Oaks,EST,4340,103320
JE Dunn Construction,3100,3500,Construction,"construction management, design-build, building information modeling, program management, self-perform concrete and masonry, CM at Risk, General contracting, Mission Critical, Healthcare, Advanced Industries, Virtual Design and Construction",Privately Held,United States,Kansas City,EST,4350,103330
"JELD-WEN, Inc.",4200,23000,Wholesale Building Materials,"Windows, Exterior Doors, Interior Doors, Patio Doors, Exterior Trim and Panels, Building Products, Manufacturing, Architectural Design, Product Engineering, Commercial Design",Public Company,United States,Charlotte,EST,4360,103340
James Hardie,2700,3000,Building Materials,"fiber cement siding, fiber cement trim, home renovation, home remodeling, backerboard, house siding, house trim, exterior siding, exterior trim, building products, engineering, supply chain, research and development, sales, marketing, fiber cement manufacturing, finance, accounting, exterior home design, manufacturing",Public Company,United States,Chicago,EST,4370,103350
Janus Henderson Investors,1200,2300,Financial Services,"Fund Management, Equity Investment, Fixed Income Investment, Property Investment, Private Equity",Public Company,United Kingdom,Denver,GMT,4380,103360
Jared the Galleria of Jewelry,1100,2400,Retail Luxury Goods and Jewelry,,Public Company,United States,Akron,EST,4390,103370
Jarir Bookstore,2200,3000,Retail,,Public Company,Saudi Arabia,Riyadh,AST,4410,103380
"Jeppesen, a Boeing Company",400,3100,Airlines and Aviation,Jeppesen creates electronic and paper charting and offers operational support for the aviation and marine industries.  Jeppesen also provides logistical assistance to land-based operators.,Privately Held,United States,Denver,EST,4420,103390
Johns Hopkins Aramco Healthcare (JHAH),200,3200,Hospital & Health Care,,Partnership,Saudi Arabia,Dhahran,AST,4430,103400
Johns Hopkins Bayview Medical Center,2100,3200,Hospitals and Health Care,,Nonprofit,United States,Baltimore,EST,4440,103410
Johns Hopkins Health Plans,1200,3000,Hospitals and Health Care,"Medicare, Medicaid, Tricare, Population Health, Employer Health",Privately Held,United States,Hanover,EST,4450,103420
Johns Hopkins Medicine,8300,41000,Hospitals and Health Care,Patient Care,Nonprofit,United States,Baltimore,EST,4460,103430
Johnsonville,1400,2400,Food and Beverage Manufacturing,"""Family Owned Since 1945""​",Privately Held,United States,Sheboygan Falls,EST,4470,103440
Jordan Kuwait Bank,400,2000,Banking,,Public Company,Jordan,Amman,Asia/Amman,4480,103450
Joyson Safety Systems,7500,50000,Motor Vehicle Manufacturing,,Privately Held,United States,Auburn Hills,EST,4490,103460
Julphar,900,4600,Pharmaceutical Manufacturing,"Pharmaceuticals, Generics, Manufacturing, Insulin, Biotechnology, Biopharmaceuticals, Diabetes, Consumer Care, Pain Management, OTC, Innovation, R&D, Research & Development, Healthcare, UAE, MEA, Middle East, Pharma, Pharmacological",Public Company,United Arab Emirates,Ras Al Khaimah,GST,4500,103470
K-Electric,3300,10500,Oil & Energy,"Electricity Generation, Transmission and Distribution",Public Company,Pakistan,Karachi,PKT,4510,103480
"KARL STORZ Endoscopy-America, Inc.",1500,3200,Medical Equipment Manufacturing,"Design, Engineering, Manufacturing, Sales & Support",Privately Held,United States,El Segundo,EST,4520,103490
KARL STORZ United States,1100,2800,Medical Equipment Manufacturing,"Design, Engineering, Manufacturing, Sales & Support, Medical Devices",Privately Held,United States,El Segundo,EST,4530,103500
KATERRA,3000,8000,Construction,"Innovation, Design, Logistics, Sourcing, Architecture, Supply Chain, Manufacturing, Technology, Construction, Engineering, Efficiency, Job-site Integration, Cross Laminated Timber, Interior Design, Renovation, Material Supply, Labor Management",Privately Held,United States,Menlo Park,EST,4540,103510
KAUST (King Abdullah University of Science and Technology),1300,8000,Higher Education,"Higher Education, Research",Educational Institution,Saudi Arabia,Thuwal,AST,4550,103520
KPMG In Pakistan,600,2100,Accounting,,Partnership,Pakistan,Karachi,PKT,4560,103530
KPMG Lower Gulf,1400,1800,Accounting,"Audit, Tax, Advisory, KPMG Business Academy",Privately Held,United Arab Emirates,Dubai,GST,4570,103540
Kellanova,700,2500,Food and Beverage Manufacturing,,Public Company,United States,Chicago,EST,4580,103550
Kennametal,2200,9000,Machinery Manufacturing,"metalworking, aerospace tooling, Machining, Drilling, Mining, Construction, Ceramics, automotive tooling, carbide",Public Company,United States,Pittsburgh,EST,4590,103560
Kerzner International,800,8000,Hospitality,"Hospitality, Leisure",Privately Held,United Arab Emirates,Dubai,GST,4600,103570
Keyloop,700,1500,Software Development,,Privately Held,United Kingdom,Reading,GMT,4610,103580
Keystone Foods,3000,11000,Food and Beverage Manufacturing,"Proteins Processing, Leadership in Food Safety and Quality, KEYSTAR CSR Program, Global Reach, Product Innovation",Public Company,United States,West Chester,EST,4620,103590
Khidmah,300,1500,Facilities Services,"Integrated Facility Management, Maintenance Solutions, Landscaping Solutions, Cleaning Solutions, Hospitality Solutions, Pest Control, MEP Services, Concierge Services, Professional and Certified Lifeguard Services, First Aid and Lifeguard Training Consultancy and Management",Sole Proprietorship,United Arab Emirates,Abu Dhabi,GST,4630,103600
Kleinfelder,900,2000,Civil Engineering,"Architecture & Design, Facility/Operations Compliance, Construction Engineering & Testing, Geotechnical/Geologic Engineering, Design Engineering, Environmental Sciences & Engineering, Bridge Engineering, Risk Management, Sustainability, Water/Wastewater Science & Engineering, Program Management, Construction Management, Process, Mechanical & Electrical Engineering, Oil & Gas, Wastewater Infrastructure, Water Resources, Stormwater, Transportation, Commercial & Industrial Facilities, Power",Privately Held,United States,San Diego,EST,4640,103610
Kloeckner Metals - Americas,2900,2500,Mechanical Or Industrial Engineering,,Public Company,United States,Roswell,EST,4650,103620
Knights of Columbus,4200,1750,Financial Services,"Disability Income Insurance, Whole Life, Term Life, Long Term Care insurance, Annuities, Charity",Nonprofit,United States,New Haven,EST,4660,103630
Komatsu North America,5300,5700,Machinery Manufacturing,"Contruction, Mining and Forestry Equipment, Material handling",Public Company,United States,Chicago,EST,4670,103640
Kona Grill,300,2200,Restaurants,"Sushi, American Grill, Happy Hour, Reverse Happy Hour, Best of...",Public Company,United States,Scottsdale,EST,4680,103650
"Konica Minolta Business Solutions U.S.A., Inc.",3000,7500,Software Development,"Multifunction Printers (MFP), Digital Press, Workflow Solutions, IT Services, Technology Optimization, Enterprise Content Management (ECM), Security and Compliance, Cloud Services, Mobility, Optimized Print Services (MPS), Printing, Print Production, Industrial Printing, Packaging, Business Solutions, Industry Solutions, Intelligent Information Management, Help Desk, Video Surveillance, Digital Transformation, Cloud",Public Company,United States,Ramsey,EST,4690,103660
Kraton Corporation,1900,2000,Chemical Manufacturing,,Privately Held,United States,The Woodlands,EST,4700,103670
"Kwik Trip, Inc.",7500,24000,Retail,"Convenience Retail/Wholesale, petroleum, distribution center, warehouse, dairy",Privately Held,United States,La Crosse,EST,4710,103680
L.A. Care Health Plan,3200,1900,Hospitals and Health Care,"HMO, Health Information Technology, Healthcare Insurance, Community Health",Nonprofit,United States,Los Angeles,EST,4720,103690
LG Electronics North America,13000,5000,Computers and Electronics Manufacturing,"Consumer Electronics, Home Appliances, Air Conditioning, Home Entertainment, Mobile Communications, Solar, Display Technology, and B2B Products",Public Company,United States,Englewood Cliffs,EST,4730,103700
Lands'​ End,1550,5000,Apparel & Fashion,"Retail, Direct Sales, Catalog, Digital, Apparel and Fashion",Public Company,United States,Dodgeville,EST,4740,103710
Langan Engineering & Environmental Services,700,1200,Civil Engineering,"Geotechnical, Site/Civil and Environmental Engineering, Transportation/Traffic Engineering, Surveying, 3D Laser Scanning, and BIM, Cultural Resources, Natural Resources Assessments/Permitting, Landscape Architecture + Planning, GIS/Data Management Services",Privately Held,United States,Parsippany,EST,4760,103720
Le Bonheur Children's Hospital,900,3100,Hospitals and Health Care,"Pediatrics, Cardiology, Neonatology, Critical Care Medicine, Nephrology, Neurology, Orthopedics, Urology, Pulmonology, Gastroenterology",Nonprofit,United States,Memphis,EST,4770,103730
Leggett & Platt,4200,22000,Furniture and Home Furnishings Manufacturing,"Automotive, Adjustable Beds, Bedding, Home Furniture, Work Furniture, Aerospace, Machinery, Flooring Products, Wire, Foam, Hydraulic Cylinders",Public Company,United States,Carthage,EST,4780,103740
"Legrand, North America",5000,13000,"Appliances, Electrical, and Electronics Manufacturing",,Public Company,United States,West Hartford,EST,4790,103750
LensCrafters,2500,12000,Retail Apparel and Fashion,"eyewear, eye care, retail, glasses, optometrist, optician, marketing, finance, real estate, information technology, accounting, sales",Public Company,United States,Cincinnati,EST,4800,103760
Leonardo DRS,2200,7100,Defense and Space Manufacturing,"Information Technology, Defense, Intelligence, Aviation, Security, Surveillance, Power, Cyber Security, Infrared, Engineering, Innovation, STEM, Naval Systems, Maritime Systems, Satellite Communications, Network Infrastructure",Public Company,United States,Arlington,EST,4810,103770
Leprino Foods,3200,4000,Food and Beverage Manufacturing,"dairy ingredients, mozzarella, cream, lactose, whey protein concentrate, provolone, reduced-fat Monterey jack and cheddar, wheyproteinisolate",Privately Held,United States,Denver,EST,4820,103780
Lexington Medical Center,3800,8000,Hospital & Health Care,"Heart Center, Women's Services, Cancer Center, Orthopaedics, Birth Center, Family Medicine, Urgent Care, General Surgery, Alzheimer's Care, Occupational Health, Weight-Loss Surgery, Emergency Medicine, Urgent Care, Health and Wellness",Nonprofit,United States,West Columbia,EST,4830,103790
Libbey,750,6100,Consumer Services,"Glassware, Dinnerware, Flatware, Serveware, beverageware, Tableware",Privately Held,United States,Toledo,EST,4840,103800
Lidl US,22000,29000,Retail,"Private Label, Grocery, Retail, Bakery, Low Prices, High Quality",Privately Held,United States,Arlington,EST,4850,103810
Lids,800,4200,Retail,"Multi-Channel Retailer, All-Inclusive Team Sports Distributor, Custom Embroidery/Screen Printing, Branding Solutions",Privately Held,United States,Indianapolis,EST,4860,103820
Life Technologies,3500,10000,Biotechnology Research,"Invitrogen, Applied Biosystems, Biotechnology tools and solutions, Sequencing, Reagents, Assays and kits, Benchtop, PCR instruments and consumables, Cloning and gene synthesis, Genome editing, Exosomes, Transfection, Protein expression and analysis, Cell media",Public Company,United States,Waltham,EST,4870,103830
Lincoln Electric,3500,11000,Machinery Manufacturing,"Welding Consumables, Plasma Cutting Equipment, Welding Education, Technical Training & Seminars, Robotic Welding Automation, Weld Fume Control Solutions, Welding Safety Apparel, Welding Equipment, Welding Information Systems",Public Company,United States,Cleveland,EST,4880,103840
Lionbridge,750,6000,Translation and Localization,"Translation, Localization, Global Marketing, Product Engineering Services, Technical Writing, eLearning Services, Interpretation, Global Testing",Privately Held,United States,Waltham,EST,4890,103850
Lionbridge Technologies,750,6000,Translation and Localization,"Traducción, Localización, Global Marketing, eLearning",Privately Held,United States,Waltham,EST,4900,103860
Lionsgate,4000,900,Entertainment,"Film & Television Production and Distribution, Entertainment, Movies, TV, Home Entertainment, Channels",Public Company,United States,Santa Monica,EST,4910,103870
Louisiana-Pacific Corporation,3200,4300,Wholesale Building Materials,,Public Company,United States,Nashville,EST,4920,103880
Lupin Pharmaceuticals,2300,18000,Pharmaceutical Manufacturing,,Privately Held,United States,Baltimore,EST,4930,103890
MAGRABi Retail Group,300,1500,Retail Luxury Goods and Jewelry,"Luxury, Eyewear, Fashion, Lifestyle, Sunglasses, Eyeglasses, Contact Lenses, Ophthalmic Lenses, Accessories, Design, Retail, Innovation, Eye Care, Optical, Customization, Specialty Gifts, Personalization, Styling, Experiential Marketing, Customer Service",Privately Held,United Arab Emirates,Dubai,GST,4940,103900
MKS Instruments,2200,6200,Semiconductor Manufacturing,,Public Company,United States,Andover,EST,4950,103910
MOD Pizza,400,7500,Restaurants,Specializing in individual artisan-style pizzas and salads,Privately Held,United States,Bellevue,EST,4960,103920
MSA - The Safety Company,1400,4200,Public Safety,"Safety Product Manufacturing, Gas and Flame Detection, Head Protection, Fall Protection, Respiratory Protection, Eye/Face/Hearing Protection, Thermal Imaging Cameras, Safety Training, Personal Protective Equipment",Public Company,United States,Cranberry Township,EST,4970,103930
MSC Industrial Supply Co.,3300,6500,Wholesale,"Distribution, Maintenance, Repair & Operations (MRO) Solutions, Metalworking Solutions & Expertise, ControlPoint Inventory Management Technology Solutions, Supply Chain Expertise & Services, Facility Management, Inventory Management Services, Manufacturing",Public Company,United States,Davidson,EST,4980,103940
MSX International,1400,6000,Business Consulting and Services,"automotive industry, sales distribution, warranry management, customer engagement, technical publications, learning, technical information, data and insights, aftersales, repair optimisation, retail business tranformation, Consumer Experience, sales performance, EVs , new agency models",Privately Held,United States,Detroit,EST,4990,103950
MTS Systems Corporation,700,3000,Industrial Machinery Manufacturing,"Engineering, Test Systems, Design, Manufacturing, Materials Testing",Public Company,United States,Eden Prairie,EST,5000,103960
Madewell,1200,3000,Retail Apparel and Fashion,"retail, jeans, specialty apparel, denim",Privately Held,United States,New York,EST,5010,103970
Magic Leap,500,1000,Consumer Electronics,,Privately Held,United States,Plantation,EST,5020,103980
Magrabi Hospitals & Centers,900,3200,Hospitals and Health Care,"Ophthalmology, ENT, Dentistry",Privately Held,Saudi Arabia,Jeddah & Mecca,AST,5030,103990
Makino,1500,3400,Machinery Manufacturing,"Horizontal Machining Centers, Vertical Machining Centers, Wire EDMs, Sinker EDMs, 5-Axis Machining Centers, Engineering Services, Grinding, Die and Mold, Die & Mould, Tooling, Part Processing, Automation Processes, Tool Changers, Technical Solutions, Smart Machines, Spindles, Automated Cells & Systems, RAM EDM, Automation, Turnkey, Manufacturing Processes, Software, Digital Technologies, Manufacturing, Component Processing",Privately Held,United States,Mason,EST,5040,104000
Marathon Oil Corporation,5400,2300,Oil and Gas,"Exploration, Production",Public Company,United States,Houston,EST,5050,104010
Marlabs LLC,300,1500,IT Services and IT Consulting,"Cloud  Computing, SAP, Mobility, Oracle, Analytics, Application Development, Microsoft, Infrastructure Services, Java, Cyber Security, Testing Services, Product Engineering, Digital Asset Management, Consulting Services, Internet of Things, HANA, Salesforce, Agile Development, Artificial Intelligence, Big Data, Business Intelligence, Cloud Computing, Cognitive Science, Customer Experience, Data Analysis, Data Science, DevOps, Information Engineering, Information Technology, Infrastructure as a Service, IoT, Machine Learning, Network Security, Predictive Analytics, Technology Consulting, Digital360, Digital Transformation, Digital Product Engineering, Digital Automation, Enterprise Analytics, Digital Security, Digital User Experience, Application Prototyping, Software Co-Creation, Rapid Digitization, Intent-Intelligence, Blockchain, Machine Reasoning, Natural Language Generation, Natural Language Processing, Data Analysis, Digital Customer Experience",Privately Held,United States,Piscataway,EST,5060,104020
Matthews International,1500,5800,Manufacturing,"Manufacturing, Marketing, Branding, Packaging, Marking, Funeral Services, Printing, Automation",Public Company,United States,Pittsburgh,EST,5070,104030
Mavenir,1100,4100,Software Development,"Mobile Core, Radio Access Network, Packet Compute, Advanced Services, RCS, VoLTE, Business Messaging, 4G/5G Networks, OpenRAN, 5G Core, IMS Core, 5G",Privately Held,United States,Richardson,EST,5080,104040
McCormick & Company,6300,13000,Food Production,,Public Company,United States,Hunt Valley,EST,5090,104050
McLarens,300,1200,Insurance,"Global Claims Services, Casualty loss adjusting, Property loss adjusting, Aviation loss adjusting, Technical loss adjusting, FAJ & Specie loss adjusting, Marine loss adjusting, Natural Resources loss adjusting, Agricultural loss adjusting, TPA Services, Forensic Engineering, Forensic Fire Investigation, Environmental Services, Construction Defect Analysis, Industrial Loss Services",Privately Held,United States,Peachtree Corners,EST,5100,104060
Mediclinic Middle East,800,4200,Hospitals and Health Care,Healthcare & Hospitals,Public Company,United Arab Emirates,Dubai,GST,5110,104070
Methodist Le Bonheur Healthcare,2000,13000,Hospitals and Health Care,"Cardiology, Neuroscience, Transplants, Maternity, Nursing, Cancer Care, Behavioral Health, Diabetes & Endocrinology, Hospice Care, Imaging & Diagnostic Services, Faith & Health, Orthopedics, Vascular & Endovascular Surgery, Women’s Health, Primary Care",Nonprofit,United States,Memphis,EST,5120,104080
MetricStream,300,1900,Software Development,"GRC, Corporate Governance, Enterprise Risk Management, Internal Audits, Quality Management, Supply Chain Governance, Third-party Management, Vendor/3rd party Risk Management, Compliance Management, IT GRC, SOX Compliance, Policy and Document Management, Case/Incident Management, Risk Management, Audit Management, GDPR, Survey Management",Privately Held,United States,San Jose,EST,5130,104090
Microtel Inn & Suites by Wyndham,500,2000,Hospitality,,Public Company,United States,Parisppany,EST,5140,104100
MillerCoors,7500,6100,Food and Beverage Services,"Beer, Adult Beverage, Consumer Goods",Public Company,United States,Chicago,EST,5150,104110
Milliken & Company,3000,7200,Industrial Machinery Manufacturing,"Specialty Chemicals, Performance Solutions™ by Milliken, Floor Covering, Manufacturing, Textiles, Healthcare",Privately Held,United States,Spartanburg,EST,5160,104120
Minneapolis Public Schools,1400,6400,Education Administration Programs,,Educational Institution,United States,Minneapolis,EST,5170,104130
Mintz,500,1200,Law Practice,"Antitrust & Federal, Bankruptcy, Communications, Consumer Products, Corporate & Securities, Energy & Clean Tech, Environmental, Government, Health, Immigration, IP, International, Litigation, Private Client, Public Finance, Real Estate, Tax, Employment",Privately Held,United States,Boston,EST,5180,104140
"Mission Technologies, a division of HII",1500,3200,Defense and Space Manufacturing,,Public Company,United States,Mclean,EST,5190,104150
Missouri Baptist Medical Center,500,3000,Hospitals and Health Care,"Cardiac, Oncology, Gastrointestinal, Orthopedic, Neurology & Spine, Women's Health",Nonprofit,United States,St. Louis,EST,5200,104160
Mobile Mini Solutions,1500,2000,Packaging and Containers Manufacturing,"Lease Portable Storage Containers, Secure On-site Storage, Secure Storage, Storage Containers, Specialty Containment",Public Company,United States,Phoenix,EST,5210,104170
Modine Manufacturing Company,2200,5300,Manufacturing,,Public Company,United States,Racine,EST,5220,104180
Moen Incorporated,1200,2300,Wholesale Building Materials,Building / Remodel Manufacturing,Public Company,United States,North Olmsted,EST,5230,104190
Molson Coors Beverage Company,10700,17000,Food and Beverage Services,"Beer, Marketing, Sales, Supply Chain",Public Company,United States,Chicago,EST,5240,104200
Monster Energy,4200,3100,Food & Beverages,,Public Company,United States,Corona,EST,5250,104210
Morgan State University,200,800,Higher Education,"Education, Research, Public Service, Community Service",Educational Institution,United States,Baltimore,EST,5260,104220
Murphy Oil Corporation,2100,1200,Oil & Energy,"Oil and Natural Gas Production, Oil and Natural Gas Exploration",Public Company,United States,Houston,EST,5270,104230
Music Tribe,500,2900,Musicians,"Loudspeakers, Amplifiers, Mixers, DJ products, Microphones, Headphones, Wireless systems, Musical instruments, MIDI Controllers",Privately Held,Malaysia,Kuala Lumpur,Asia/Kuala_Lumpur,5280,104240
NAFFCO ELECTROMECHANICAL CO. LLC,800,4000,Industrial Machinery Manufacturing," producer and supplier of life safety solutions, Firefighting, Fire Alarm, BMS, ELV",Public Company,United Arab Emirates,Abu Dhabi,GST,5290,104250
NAFFCO GROUP,500,3200,Public Safety,"Manufacturing, Design, Supply, Installation and Commissioning of NFPA Standard, UL Listed / FM Approved / LPCB Approved / Kite Marked Fire Protection and Detection Equipments including Fire Pump Sets, Fire Trucks, Ambulances and Rescue Vehicles, firetrucks, firefightingproducts, firepumps, firefightingequipments, firedoors, BMS, ELV, safetyequipments, firefightingvehicles, fireexhinguishers, sprinklers, smokedetectors, security",Privately Held,United Arab Emirates,Dubai,GST,5300,104260
NCH Corporation,6000,8500,Chemicals,"Production Chemicals/Manufacturing, Commercial Products, Industrial Distribution, Industrial Maintenance, Cleaning and Speciality Supplies, Water Treatment & Remediation, Consumer Packaged Goods- Plumbing",Privately Held,United States,Irving,EST,5310,104270
NEOM,500,1500,Government Administration,,Privately Held,Saudi Arabia,Neom,AST,5320,104280
NEORIS,1200,2000,Information Technology & Services,"Digital Transformation, Business Consulting, IT Consulting, SAP Services, UX / UI, Mobility, Innovation, Cloud Computing, Supply Chain Management, SaaS, Manufacturing Transformation, BPM, Customer Relationship Management, Business Intelligence, Change Management, ERP Implementation, Outsourcing",Privately Held,United States,Miami,EST,5330,104290
NPL Construction Co.,900,5100,Construction,,Privately Held,United States,Phoenix,EST,5340,104300
NW Natural,800,1200,Utilities,,Public Company,United States,Portland,EST,5350,104310
National Bank of Fujairah,400,1000,Banking,"Corporate & institutional banking, Corporate advisory/loan syndication, Commercial banking, Trade services, Treasury services, Specialisation in the precious metals, energy and marine sectors",Public Company,United Arab Emirates,Dubai,GST,5360,104320
National Foods Limited,500,3000,Food and Beverage Manufacturing,"Spices, Pickles, Jams, Jellys, Rice, Desserts, Recipes, Instant Drinks etc",Public Company,Pakistan,Karachi,Asia/Karachi,5370,104330
National Geographic,1000,3000,Publishing,"Publishing, Television, Media, Digital, Research, Exploration",Public Company,United States,Washington,EST,5380,104340
National Renewable Energy Laboratory,1000,1500,Research Services,"Renewable Energy, Energy Efficiency, Research and Development, Basic Science, Solar, Photovoltaics, Wind, Biofuels, Energy Systems Integration",Nonprofit,United States,Golden,EST,5390,104350
National Vision Inc.,2000,12000,Retail,"Primary Eye-care, Eye Exams, Eyeglasses, Contact Lenses, Sunglasses, Optometry, Optical",Public Company,United States,Duluth,EST,5400,104360
Nebraska Public Power District,1200,2500,Utilities,"Public Power District, Electricity, Electric Utility, Publicly Owned, Electrical System, Economic Development, Environmental, Energy Education, Energy Facilities",Public Company,United States,Columbus,CST,5410,104370
Neovia Logistics,1200,10000,Transportation/Trucking/Railroad,"Global Logistics, Supply Chain Strategy and Design, Inventory Management, Warehouse Management",Privately Held,United States,Irving,EST,5420,104380
NetJets,2200,1300,Aviation and Aerospace Component Manufacturing,"Private Aviation, Fractional Aircraft Ownership, Private Jet Leases, Jet Cards",Privately Held,United States,Columbus,EST,5430,104390
New Era Cap,700,1200,Retail Apparel and Fashion,"Lifestyle, Headwear, Apparel, Merchandising, Retail, Innovation, Brand, Fashion, Sports Licensing, Sport, Product Development",Privately Held,United States,Buffalo,EST,5440,104400
New Horizons Computer Learning Centers,300,1800,IT Services and IT Consulting,"Project Management, Onsite Training, On Demand Learning, HR Management Training, IT Training, Technical Training, Microsoft, Cisco, Cybersecurity, CompTIA, Adobe, Certification, VMware, Remote Learning, Virtual Learning, Classroom Learning, VILT, IT Service Management, Cloud Computing, AXELOS, Leadership Development, Networking, Applications, SharePoint, Windows Server, ITIL, AWS, Red Hat, Business Analysis, Career Development, Enterprise Learning Solutions",Privately Held,United States,New Braunfels,EST,5450,104410
New York Power Authority,2300,2300,Utilities,"Bulk Electricity Generation and Transmission, Energy Efficiency, New Energy Technologies, Electric Transportation, Sustainability, Economic Development, Utility",Government Agency,United States,White Plains,EST,5460,104420
Newmont Corporation,9700,16500,Mining,,Public Company,United States,Denver,EST,5470,104430
"Newport News Shipbuilding, A Division of HII",4800,25000,Defense and Space Manufacturing,"U.S. Navy Aircraft Ford-class Aircraft Carriers, U.S. Navy Virginia-class Submarines, U.S. Navy Refueling and Complex Overhaul (RCOH), Submarine Fleet Services",Public Company,United States,Newport News,EST,5480,104440
NexTier Completion Solutions,1500,4000,Oil and Gas,"Hydraulic Fracturing, Wireline, Pumpdown, Coiled Tubing, Cementing, Rig Services, Fluids Management",Public Company,United States,Houston,EST,5490,104450
"NextEra Energy, Inc.",17000,14000,Utilities,"Renewable Energy, Clean Energy, Fortune's list of World's Most Admired Companies 2019, Forbes America's Best Employers 2018, Ethisphere Institute's World's Most Ethical Company 2019",Public Company,United States,Juno Beach,EST,5500,104460
Nexteer Automotive,3500,13000,Motor Vehicle Manufacturing,"Electric Power Steering, Hydraulic Power Steering, Vehicle Integration, Columns & I-Shaft, Advanced Driving Enabling Technology, Software, Driveline, Electrification, Shared Mobility, Connectivity, ADAS, Automated Driving, Vehicle Health Management",Public Company,United States,Auburn Hills,EST,5510,104470
Nielsen Media Research,3100,4100,Market Research,,Public Company,United States,New York,EST,5520,104480
Norfolk Southern,9800,24000,Truck Transportation,"Transportation, Freight Rail, Logistics, Intermodal",Public Company,United States,Atlanta,EST,5530,104490
Norfolk Southern Railroad,11500,24000,Truck Transportation,,Public Company,United States,Atlanta,EST,5540,104500
"North American Lighting, Inc.",1200,6000,Motor Vehicle Manufacturing,Exterior Automotive Lighting,Privately Held,United States,Paris,EST,5550,104510
Northeast Georgia Health System,1800,8000,Hospital & Health Care,,Nonprofit,United States,Gainesville,EST,5560,104520
Novolex,2300,6800,Packaging & Containers,"plastic bags, packaging, plastics, PPE, sustainability, innovation, manufacturing, food packaging, paper bags",Privately Held,United States,Hartsville,EST,5570,104530
Nucor Corporation,25000,26000,Manufacturing,"Carbon Steel, Cold Finished Steel, Steel Buildings, Structual Products, Steel Joists and Girders, Steel Deck, Steel Fasteners, Direct Reduced Iron, Sheet Steel, Scrap and Alloys, Automotive Steel, High Carbon and Alloy Steel, Galvanized Steel",Public Company,United States,Charlotte,EST,5580,104540
"Nypro, A Jabil Company",2300,10000,Medical Equipment Manufacturing,,Public Company,United States,St. Petersburg,EST,5590,104550
OGE Energy Corp.,4200,2300,Utilities,"Electrical Power Generation, Electrical Power Delivery to Residential and Commercial Consumers, Smart Grid Sustainability, Wind Generation",Public Company,United States,Oklahoma City,EST,5600,104560
OK Foods Inc.,1500,4000,Food and Beverage Manufacturing,,Public Company,United States,Fort Smith,EST,5610,104570
Oak Ridge National Laboratory,3200,4900,Research Services,"computing, biosciences, reactors, science, nuclear energy, neutron science, chemistry, climate, mathematics, fusion, astrophysics, clean energy, high performance computing, 3D printing, additive manufacturing, advanced manufacturing, software, nanoscience, mass spectrometry, climatechange, materials, nuclear science, artificial intelligence",Government Agency,United States,Oak Ridge,EST,5620,104580
Oakley,1200,3500,Apparel & Fashion,"sunglasses, goggles, innovation, apparel, watches, footwear, design, eyewear, marketing, engineering",Public Company,United States,Foothill Ranch,EST,5630,104590
Oldcastle BuildingEnvelope,1500,6300,Building Materials,"Curtain Wall, Window Wall, Architectural Windows, Entrance Doors, Storefronts, Skylights, Architectural Glass, architectural hardware, Showers, Custom-Engineering, Hurricane resistance, Sun controls, Blast Mitigation, impact resistance, Security glazing, retrofit, adaptive reuse",Privately Held,United States,Dallas,EST,5640,104600
Olympus Corporation of the Americas,3200,5000,Medical Equipment Manufacturing,,Public Company,United States,Center Valley,EST,5650,104610
OneSubsea,3200,4500,Oil and Gas,"Integrated Solutions, Production Systems, Processing Systems, Control Systems, Swivel and Marine Systems, Subsea Services",Public Company,United States,Houston,EST,5660,104620
Orbia,7900,22000,Utilities,,Public Company,United States,Boston,EST,5670,104630
Orion Innovation,300,1400,IT Services and IT Consulting,"Data Analytics & Business Intelligence, Cloud Computing, Data Management and Data Mining, DevOps, ERP, Telecom, Systems Integration, Enterprise Applications Development, SharePoint, LifeSciences, Automotive, Financial Services, Digital Transformation, Digital Product Development, Sports, Professional Services, Media, Entertainment, Education, Experience Design",Privately Held,United States,Edison,EST,5680,104640
"Ormat Technologies, Inc.",700,1300,Industrial Machinery Manufacturing,"Geothermal Power Plants, Remote Power Units, Recovered Energy Power Plants, ENERGY MANAGEMENT & STORAGE, Renewable Energy",Public Company,United States,Reno,EST,5690,104650
Outbrain,320,800,Software Development,"Open Web, Digital Advertising, Engagement, AI, Branding",Public Company,United States,New York,EST,5700,104660
